,vehicle_name,model,battery,seats,acceleration,top_speed,distance,efficiency,fast_charge,price_pounds,price_germany,price_netherland
0,Mercedes,EQS 580 4MATIC,107.8,5,4.3,210,610,177,800,"* £115,000","€135,529","* €140,000"
1,Tesla,Model 3 Standard Range Plus LFP,52.5,5,5.6,225,350,150,560,"£40,990","€43,560","€49,990"
2,Tesla,Model Y Long Range Dual Motor,70,7,5.0,217,410,171,520,"* £54,000","€59,965","€65,010"
3,Kia,EV6 GT,77.4,5,3.5,260,395,196,920,"£58,295","€65,990","€63,595"
4,Tesla,Model 3 Long Range Dual Motor,70,5,4.4,233,455,154,570,"£48,490",N/A,N/A
5,Skoda,Enyaq iV 80,77,5,8.6,160,420,183,510,"£39,365","€43,950","€47,780"
6,Tesla,Model 3 Standard Range Plus,51,5,5.6,225,350,146,700,"£40,990","€43,560","€49,990"
7,Dacia,Spring Electric,26.8,4,15.0,125,170,158,120,N/A,"€20,490","€17,890"
8,Nissan,Leaf,37,5,7.9,144,225,164,230,"£25,995","€29,990","€34,990"
9,Hyundai,Kona Electric 64 kWh,64,5,7.9,167,395,162,370,N/A,"€41,850","€41,595"
10,Hyundai,IONIQ 5 Long Range AWD,72.6,5,5.2,185,375,194,870,"£45,145","€48,900","€54,500"
11,BMW,i4 eDrive40,80.7,5,5.7,190,475,170,660,"* £51,905","€58,300","€60,697"
12,Audi,e-tron GT RS,85,4,3.3,250,405,210,810,"£110,950","€138,200","€146,295"
13,Volkswagen,ID.4 1st,77,5,8.5,160,410,188,500,"£40,800",N/A,N/A
14,Peugeot,e-208,45,5,8.1,150,275,164,370,"£27,225","€30,450","€34,900"
15,Mercedes,EQA 250,66.5,5,8.9,160,355,187,420,"£43,495","€47,541","€49,995"
16,Tesla,Model 3 Long Range Dual Motor,76,5,4.4,233,490,155,820,N/A,"€53,560","€57,990"
17,Mercedes,EQS 450+,107.8,5,6.2,210,640,168,840,"* £95,000","€106,374","* €110,000"
18,MG,ZS EV,42.5,5,8.2,140,220,193,260,"£25,995","€31,990","€30,985"
19,Mazda,MX-30,30,5,9.7,140,170,176,180,"£26,045","€34,490","€33,990"
20,Audi,Q4 e-tron 40,76.6,5,8.5,160,405,189,500,"£44,990","€47,500","€52,815"
